ctime,relname,pid,mode,granted
1415154254.13171,pg_locks,11571,AccessShareLock,t
1415154254.13171,pg_stat_activity,11570,AccessShareLock,t
1415154254.13171,pg_stat_all_indexes,11572,AccessShareLock,t
1415154254.13171,pg_stat_all_tables,11573,AccessShareLock,t
1415154254.13171,pg_stat_database,11574,AccessShareLock,t
1415154254.13171,pg_statio_all_tables,11573,AccessShareLock,t
1415154314.13351,lineitem,11620,AccessShareLock,t
1415154314.13351,lineitem_l_orderkey_idx,11620,AccessShareLock,t
1415154314.13351,lineitem_l_orderkey_idx_l_returnflag,11620,AccessShareLock,t
1415154314.13351,lineitem_l_orderkey_idx_part1,11620,AccessShareLock,t
1415154314.13351,lineitem_l_orderkey_idx_part2,11620,AccessShareLock,t
1415154314.13351,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,11620,AccessShareLock,t
1415154314.13351,lineitem_l_partkey_l_quantity_l_shipmode_idx,11620,AccessShareLock,t
1415154314.13351,lineitem_l_shipdate_l_suppkey__idx,11620,AccessShareLock,t
1415154314.13351,nation,11620,AccessShareLock,t
1415154314.13351,orders,11620,AccessShareLock,t
1415154314.13351,orders_o_orderdate_o_orderkey_idx,11620,AccessShareLock,t
1415154314.13351,orders_o_orderkey_o_orderdate_idx,11620,AccessShareLock,t
1415154314.13351,part,11620,AccessShareLock,t
1415154314.13351,part_p_container_p_brand_p_partkey_idx,11620,AccessShareLock,t
1415154314.13351,part_p_name_idx,11620,AccessShareLock,t
1415154314.13351,part_p_size_idx,11620,AccessShareLock,t
1415154314.13351,part_p_type_p_partkey_idx,11620,AccessShareLock,t
1415154314.13351,partsupp,11620,AccessShareLock,t
1415154314.13351,partsupp_ps_suppkey_idx,11620,AccessShareLock,t
1415154314.13351,pg_locks,11643,AccessShareLock,t
1415154314.13351,pg_stat_all_indexes,11641,AccessShareLock,t
1415154314.13351,pg_stat_all_tables,11644,AccessShareLock,t
1415154314.13351,pg_stat_database,11645,AccessShareLock,t
1415154314.13351,pg_statio_all_indexes,11641,AccessShareLock,t
1415154314.13351,pg_statio_all_tables,11644,AccessShareLock,t
1415154314.13351,pk_lineitem,11620,AccessShareLock,t
1415154314.13351,pk_nation,11620,AccessShareLock,t
1415154314.13351,pk_orders,11620,AccessShareLock,t
1415154314.13351,pk_part,11620,AccessShareLock,t
1415154314.13351,pk_partsupp,11620,AccessShareLock,t
1415154314.13351,pk_supplier,11620,AccessShareLock,t
1415154314.13351,supplier,11620,AccessShareLock,t
1415154314.13351,supplier_s_nationkey_s_suppkey_idx,11620,AccessShareLock,t
1415154314.13351,supplier_s_suppkey_idx_like,11620,AccessShareLock,t
1415154374.1377,lineitem,11678,AccessShareLock,t
1415154374.1377,lineitem_l_orderkey_idx,11678,AccessShareLock,t
1415154374.1377,lineitem_l_orderkey_idx_l_returnflag,11678,AccessShareLock,t
1415154374.1377,lineitem_l_orderkey_idx_part1,11678,AccessShareLock,t
1415154374.1377,lineitem_l_orderkey_idx_part2,11678,AccessShareLock,t
1415154374.1377,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,11678,AccessShareLock,t
1415154374.1377,lineitem_l_partkey_l_quantity_l_shipmode_idx,11678,AccessShareLock,t
1415154374.1377,lineitem_l_shipdate_l_suppkey__idx,11678,AccessShareLock,t
